"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY_PART/MNF_PART"
"1";;"FERRITE_0603MP";"_0603MP";"FB1";"Ferrite Bead";"BLM18RK102SN1D"
"1";"0.1uF";"CAP_CERAMIC_0402MP";"_0402MP";"C1";"Ceramic Capacitors";"GRM033C80J104KE84D"
"1";"0.1uF";"KEMET_CERAMIC_CAPACITOR_ARRAY_1X4";"CAPACITOR_ARRAY_1206_MONO_1X4";"C_ARR1";;"CA064C104K4RACTU"
"1";"0.47uF";"CAP_CERAMIC_0402MP";"_0402MP";"C7";"Ceramic Capacitors";"C1005X5R1C474K050BC"
"1";"10K";"RESISTOR_0402MP";"_0402MP";"R2";"Resistors";"CRCW040210K0JNEDHP"
"1";"1X14_ROUND";"1X14_ROUND";"1X14_ROUND";"U$6";;
"1";"1X3_ROUND";"1X3_ROUND";"1X3_ROUND";"U$7";;
"1";"1X5_ROUND";"1X5_ROUND";"1X5_ROUND";"U$9";;
"1";"1X6_ROUND";"1X6_ROUND";"1X6_ROUND";"U$12";;
"2";"2.2uF";"CAP_CERAMIC_0402MP";"_0402MP";"C5, C6";"Ceramic Capacitors";"C1005X5R1C225K050BC"
"1";"48MHz";"TSX-3225";"TSX-3225";"EPSON_TSX1";;"FA-238 48.0000MB-K3"
"3";"330";"RESISTOR_0402MP";"_0402MP";"R1, R3, R4";"Resistors";"CRCW0402330RJNED"
"1";"4.7uF";"CAP_CERAMIC_0402MP";"_0402MP";"C2";"Ceramic Capacitors";"C1005X5R1A475K050BC"
"2";"10pF";"CAP_CERAMIC_0402MP";"_0402MP";"C3, C4";"Ceramic Capacitors";"GRM0335C1E100JA01D"
"1";"ATSAMD21E18A-MUT";"ATSAMD21E18A-MUT";"QFN32";"IC1";"This is the ATMEL SAMD21E QFN-32 (ATSAMD21E18A-MU). The QFP version is ATSAMD21E18A-AU";"ATSAMD21E18A-MUT"
"1";"BLUE";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED2";"LED";"350-2037-1-ND"
"1";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"LDO_VREG";;"MCP1700T-3302E/TT"
"1";"YELLOW";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED1";"LED";"350-2032-1-ND"
"1";"USB_MICROB";"USB_MICROB";"USB_MICROB_PACKAGE";"MICRO_B_USB";"This is the hirose ZX62-B-5PA(11) MICRO-USB B Type female connection.";"ZX62-B-5PA(11)"
"1";"10uH";"INDUCTOR_0603MP";"_0603MP";"L1";;"LQM18FN100M00D"
"2";"10uF";"CAP_CERAMIC_0402MP";"_0402MP";"C8, C9";;"CL05A106MP5NUNC"
