"Part";"Value";"Device";"Package";"Description"
"C1";"0.1uF";"CAP_CERAMIC_0402MP";"_0402MP";"Ceramic Capacitors"
"C2";"4.7uF";"CAP_CERAMIC_0402MP";"_0402MP";"Ceramic Capacitors"
"C3";"10pF";"CAP_CERAMIC_0402MP";"_0402MP";"Ceramic Capacitors"
"C4";"10pF";"CAP_CERAMIC_0402MP";"_0402MP";"Ceramic Capacitors"
"C5";"2.2uF";"CAP_CERAMIC_0402MP";"_0402MP";"Ceramic Capacitors"
"C6";"2.2uF";"CAP_CERAMIC_0402MP";"_0402MP";"Ceramic Capacitors"
"C7";"0.47uF";"CAP_CERAMIC_0402MP";"_0402MP";"Ceramic Capacitors"
"C8";"10uF";"CAP_CERAMIC_0402MP";"_0402MP";"Ceramic Capacitors"
"C9";"10uF";"CAP_CERAMIC_0402MP";"_0402MP";"Ceramic Capacitors"
"C_ARR1";"0.1uF";"KEMET_CERAMIC_CAPACITOR_ARRAY_1X4";"CAPACITOR_ARRAY_1206_MONO_1X4";
"EPSON_TSX1";"48MHz";"TSX-3225";"TSX-3225";"FA-238 48.0000MB-K3"
"FB1";;"FERRITE_0603MP";"_0603MP";"Ferrite Bead"
"IC1";"ATSAMD21E18A-MUT";"ATSAMD21E18A-MUT";"QFN32";"This is the ATMEL SAMD21E QFN-32. ATSAMD21E18A"
"L1";"10uH";"INDUCTOR_0603MP";"_0603MP";"Fixed Inductor."
"LDO_VREG";"LM3480";"LM3480";"LM3480";
"LED1";"RED";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED"
"LED2";"GREEN";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED"
"MICRO_B_USB";"USB_MICROB";"USB_MICROB";"USB_MICROB_PACKAGE";"This is the hirose ZX62-B-5PA(11) MICRO-USB B Type female connection."
"R1";"330";"RESISTOR_0402MP";"_0402MP";"Resistors"
"R2";"10K";"RESISTOR_0402MP";"_0402MP";"Resistors"
"R3";"330";"RESISTOR_0402MP";"_0402MP";"Resistors"
"R4";"330";"RESISTOR_0402MP";"_0402MP";"Resistors"
"U$6";"1X14_ROUND";"1X14_ROUND";"1X14_ROUND";"1.27mm Pitch"
"U$7";"1X3_ROUND";"1X3_ROUND";"1X3_ROUND";"1.27mm Pitch"
"U$9";"1X5_ROUND";"1X5_ROUND";"1X5_ROUND";"1.27mm Pitch"
"U$12";"1X6_ROUND";"1X6_ROUND";"1X6_ROUND";"1.27mm Pitch"
