"Qty";"Value";"Device";"Package";"Parts";"Description";"MFR_ID"
"1";;"FERRITE_0603MP";"_0603MP";"FB1";"Ferrite Bead";"BLM18RK102SN1D"
"1";"DNP";"SPST_SMD";"SPST_SMD";"SJ_RESET";;
"1";"0.1uF";"CAP_CERAMIC_0402MP";"_0402MP";"C1";"Ceramic Capacitors";"C1005X7R1A104K050BB"
"1";"0.1uF";"KEMET_CERAMIC_CAPACITOR_ARRAY_1X4";"CAPACITOR_ARRAY_1206_MONO_1X4";"C_ARR";;"CA064C104K4RACTU"
"1";"0.47uF";"CAP_CERAMIC_0402MP";"_0402MP";"C7";"Ceramic Capacitors";"C1005X5R1C474K050BC"
"1";"100K";"RESISTOR_0402MP";"_0402MP";"R6";"Resistors";"ERJ-2RKF1003X"
"1";"10K";"RESISTOR_0402MP";"_0402MP";"R2";"Resistors";"CRCW040210K0JNEDHP"
"2";"10uF";"CAP_CERAMIC_0402MP";"_0402MP";"C8, C9";"Ceramic Capacitors";"CL05A106MP5NUNC"
"1";"10uH";"INDUCTOR_0603MP";"_0603MP";"L1";"Inductors";"LQM18FN100M00D"
"1";"DNP";"1X14_ROUND";"1X14_ROUND";"PIN_1X14";;
"1";"DNP";"1X3_ROUND";"1X3_ROUND";"PIN_1X3";;
"1";"DNP";"1X5_ROUND";"1X5_ROUND";"PIN_1X5";;
"1";"DNP";"1X6_ROUND";"1X6_ROUND";"PIN_1X6";;
"2";"2.2uF";"CAP_CERAMIC_0402MP";"_0402MP";"C5, C6";"Ceramic Capacitors";"C1005X5R1C225K050BC"
"5";"330";"RESISTOR_0402MP";"_0402MP";"R1, R3, R4, R5, R7";"Resistors";"CRCW0402330RJNED"
"1";"4.7uF";"CAP_CERAMIC_0402MP";"_0402MP";"C2";"Ceramic Capacitors";"C1005X5R1A475K050BC"
"1";"48MHz";"TSX-3225";"TSX-3225";"EPSON_TSX1";;"FA-238 48.0000MB-K3"
"2";"4pF";"CAP_CERAMIC_0402MP";"_0402MP";"C10, C11";"Ceramic Capacitors";"GJM1555C1H4R0CB01D"
"2";"10pF";"CAP_CERAMIC_0402MP";"_0402MP";"C3, C4";"Ceramic Capacitors";"VJ0402A100FXACW1BC"
"1";"ABS06-107-32.768KHZ-T";"ABS06-107-32.768KHZ-T";"ABS06-107-32.768KHZ-T";"OSC32K";"ABS06-107-32.768kHz-T Crystal Oscillator";"ABS06-107-32.768kHz-T"
"1";"ATSAMD21E18A-MUT";"ATSAMD21E18A-MUT";"QFN32";"IC1";"This is the ATMEL SAMD21E QFN-32. ATSAMD21E18A";"ATSAMD21E18A-MUT"
"1";"LRTB_R48G";"LRTB_R48G";"LRTB_R48G";"RGBLED";;"LRTB R48G"
"1";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"LDO_VREG";"Microchip LDO ""MCP1700"" in a 3-Pin SOT-23 package.";"MCP1700T-3302E/TT"
"1";"TACTILE_SWITCH_NO_GND_NO_BOSS";"TACTILE_SWITCH_NO_GND_NO_BOSS";"SIDE_ACT_NO_GND_NO_BOSS";"BTN_BOOT";;"B3U-3000PM"
"1";"USB_MICROB";"USB_MICROB";"USB_MICROB_PACKAGE";"MICRO_B_USB";"This is the hirose ZX62-B-5PA(11) MICRO-USB B Type female connection.";"ZX62-B-5PA(11)"
